"site_ID","main_isld","region","DOC_region","area","DOC_code","DOC_name","DOC_size","DOC_pc","S1_area_pc","S2_area_pc","S3_area_pc","S1_limits","S2_limits","S3_limits","S1_uncrt","S2_uncrt","S3_uncrt","MESS_class","dissim_var","hum_im_pc","rd_sl_mi","rd_unsl_mi","fences","graze_pc","in_watr_mi","in_watr_me","in_watr_mx","pine_pc","curr_NZSL","histr_NZSL","X","Y","id"
"CNI-1","North Island","Bay of Plenty Region","Central North Island",0.7,"T13045","Orokawa Scenic Reserve",0,0.09,100,0,48.4,"grass distance","grass distance","grass distance",0.7,0.69,0.89,"none","slope",72.1,0,0.74,"absent",3.24,0.55,2.1,3.63,NA,NA,NA,1862290.55258883,5852995.23173331,1
"CNI-2","North Island","Bay of Plenty Region","Central North Island",1.29,NA,NA,NA,NA,52.44,17.79,87.58,"sand distance","inland water distance","inland water distance",1.09,0.49,0.54,"low","land cover",72.31,0,0.92,"present",18.28,0.95,2.36,3.72,NA,NA,NA,1860289.47713595,5848861.47570681,2
"CNI-3","North Island","Bay of Plenty Region","Central North Island",2.4,NA,NA,NA,NA,15.67,22.33,98.85,"sand distance","sand distance","grass distance",1.61,0.53,0.27,"low","slope",0,15.88,1.8,"absent",NA,0,0.8,2.52,NA,NA,NA,1864793.28222891,5847590.5730295,3
"CNI-4","North Island","Bay of Plenty Region","Central North Island",2.18,"T13043","Conservation Area - Unknown",0,0.03,32.78,49.9,94.89,"sand distance","sand distance","coast distance",1.43,0.36,0.35,"low","land cover",0,0,0.22,"present",9.71,0,1.08,2.43,NA,NA,NA,1860086.9611811,5846212.76941553,4
"CNI-5","North Island","Bay of Plenty Region","Central North Island",1.96,"T13054","Tahawai Stream Marginal Strip",0,0.06,31.41,22.91,91.78,"sand distance","grass distance","grass distance",1.39,0.46,0.42,"low","land cover",71.68,0,0,"present",11.85,0,0.8,1.76,NA,NA,NA,1859279.91706553,5841771.8838903,5
"CNI-6","North Island","Bay of Plenty Region","Central North Island",0.89,NA,NA,NA,NA,81.83,1.83,74.23,"grass distance","inland water distance","inland water distance",0.7,0.62,0.78,"low","inland water distance",0,6.94,1.1,"absent",0.31,3.15,5.22,7.1,NA,NA,NA,1866699.57015587,5841774.94842291,6
"CNI-7","North Island","Bay of Plenty Region","Central North Island",2.63,"T13052","Tetley Road Marginal Strip",0,0.13,58.59,32.36,82.19,"grass distance","grass distance","grass distance",1.1,0.51,0.52,"low","slope",38.94,0,0,"present",13.28,0.44,1.61,3.05,NA,NA,NA,1859498.5294157,5837248.62941584,7
"CNI-8","North Island","Bay of Plenty Region","Central North Island",0.72,NA,NA,NA,NA,51.82,36.48,85.01,"grass distance","grass distance","grass distance",1.1,0.52,0.51,"low","slope",0,0.28,0.03,"present",9.51,0.03,0.73,2.27,NA,NA,NA,1862845.64558481,5835808.16724878,8
"CNI-9","North Island","Bay of Plenty Region","Central North Island",1.52,NA,NA,NA,NA,32.24,58.67,93.04,"sand distance","grass distance","grass distance",1.32,0.36,0.35,"low","slope",26.51,0.63,0.37,"present",14.86,0.03,0.34,0.88,NA,NA,NA,1862708.54456677,5833498.66108373,9
"CNI-10","North Island","Bay of Plenty Region","Central North Island",0.61,NA,NA,NA,NA,59.73,0,92.21,"grass distance","grass distance","grass distance",0.98,0.76,0.62,"none","slope",0,3.99,0.34,"absent",16.45,0.95,1.36,2.21,NA,NA,NA,1875203.8678333,5834181.40369435,10
"CNI-11","North Island","Bay of Plenty Region","Central North Island",0.51,NA,NA,NA,NA,40.71,98.04,86.06,"sand distance","grass distance","inland water distance",1.18,0.29,0.42,"low","slope",0,337.23,149.63,"absent",NA,0.03,0.16,0.38,NA,NA,NA,1864494.03236091,5831768.45238556,11
"CNI-12","North Island","Bay of Plenty Region","Central North Island",3.85,NA,NA,NA,NA,63.22,26.07,71.72,"grass distance","grass distance","grass distance",1.02,0.52,0.66,"low","slope",0,0,0.03,"present",7.58,0,2.11,5.35,NA,NA,NA,1870575.31220086,5834960.86199033,12
"CNI-13","North Island","Bay of Plenty Region","Central North Island",0.77,NA,NA,NA,NA,38.67,17.72,95.06,"sand distance","grass distance","grass distance",1.31,0.45,0.45,"low","slope",0,4.05,0,"present",20.54,0,0.55,1.23,20.38,NA,NA,1875326.38456082,5830298.90796219,13
"CNI-14","North Island","Bay of Plenty Region","Central North Island",2.32,NA,NA,NA,NA,45.77,23.16,89.2,"sand distance","grass distance","grass distance",1.21,0.52,0.46,"low","land cover",53.66,0.06,0.53,"present",19.24,0.03,1.11,2.99,NA,NA,NA,1865613.80382903,5830232.73268726,14
"CNI-15","North Island","Bay of Plenty Region","Central North Island",0.78,"80295","Whangaparaoa Beach Marginal Strip",0,0.44,18.31,33.81,97.76,"sand distance","sand distance","grass distance",1.72,0.35,0.37,"low","land cover",0,0,0,"absent",45.87,0.14,1.16,2.53,NA,NA,NA,2040681.80461662,5828990.55765099,15
"CNI-16","North Island","Bay of Plenty Region","Central North Island",1.72,"U14205; U14181","Omokoroa Beach Marginal Strip; Omokoroa Beach Marginal Strip",0.01,0.54,60.34,30.39,84.04,"grass distance","grass distance","grass distance",1.09,0.5,0.47,"low","slope",0,0,0.39,"present",5.57,0.03,1.06,2.48,NA,NA,NA,1868094.86607614,5828206.32727151,16
"CNI-17","North Island","Bay of Plenty Region","Central North Island",0.56,NA,NA,NA,NA,100,0,86.65,"grass distance","grass distance","grass distance",0.71,0.65,0.67,"none","slope",0,0,3.46,"absent",NA,0.03,1.02,1.77,NA,NA,NA,1876642.92269747,5826864.55784809,17
"CNI-18","North Island","Bay of Plenty Region","Central North Island",2.21,NA,NA,NA,NA,33.64,50.52,91.62,"sand distance","sand distance","coast distance",1.53,0.33,0.33,"low","land cover",95.46,0,0,"present",44.17,0,0.83,1.85,NA,NA,NA,1872206.06841133,5826688.69182497,18
"CNI-19","North Island","Bay of Plenty Region","Central North Island",0.51,NA,NA,NA,NA,100,0,21.1,"grass distance","grass distance","grass distance",0.76,0.79,1.19,"low","inland water distance",1.84,0.03,2.14,"absent",NA,1.04,3.3,4.56,NA,NA,NA,1883536.45706161,5827470.96626468,19
